source_db,old_author_id,old_first_name,old_last_name,new_author_id
db2,101,B.,Alders,bfa13911-b0a6-5016-99f1-00313bebdb2f
db2,102,Μ.,Μαραγκουδάκη,9c130102-f914-59a7-a26d-431129349658
db2,103,Olaf,Halm,2e608f95-66cb-5d75-a214-386ceed5ea39
db2,104,J.,Bornschein,7e0dc53c-63e8-5c06-9be2-9d5cd49d4059
db2,105,Pekka,Loula,bbad2b53-cdcf-5051-9876-dd07da90f25b
db2,106,J.,Heimila,848c3f39-9855-5137-9306-9f23555018fb
db2,107,G.,Flouris,cfbd98d3-c71e-5cb8-ae9f-cd568e4eb204
db2,108,Noelle,Carbonell,3171f6df-0d4f-5613-b58d-31e18f02d724
db2,109,,Alfred Kobsa,16fffd1e-fcc3-503f-b357-40a4b0fcfd96
db2,111,C.,Nikolaou,7e6ca7e1-da64-5931-a4be-f87e0025ff37
db2,112,N.,Bevan,0af87232-e5e1-57a0-95d3-d9c2a1ca4088
db2,113,J.,Brewer,aaaee346-2905-5a03-bc4e-ac1d3e1cca4a
db2,114,A.,Galetsas,aa20b3a2-51d7-5ceb-9beb-b2e55e981ab7
