"JournalID","Title","Publisher","Theme","StartMonth","EndMonth","Year","Volume","Number","CopiesNo","PhotocopiesNo","ISSN","Subscriber","Shelf","Language","Available"
"179","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","Living, Consuming Technology, Teaching and Learning, Symbol Talk","9","null","1993","11","3","1","0","0822-0638","CS","GUIB-LIB","English","1"
"180","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","Consuming Technology, Teaching and Learning, Contexts","12","null","1993","11","4","1","0","0822-0638","CS","GUIB-LIB","English","1"
"181","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","Communicating Through Grief...and Love Tribute, Consuming Technology, Teaching and Learning","3","null","1994","12","1","1","0","0822-0638","CS","GUIB-LIB","English","2"
"182","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","Consuming Technology, Teaching and Learning","6","null","1994","12","2","1","0","0822-0638","CS","GUIB-LIB","English","1"
"183","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","Technology in Transition: Colin/Aging for Persons with Cerebral Palsy","9","null","1994","12","3","1","0","0822-0638","CS","G123","English","1"
"184","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","User Friendly Computers/Welcoming Environments for Technology","12","null","1994","12","4","1","0","0822-0638","CS","G123","English","1"
"185","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","Accessing the Information Highway Developing your Own Voice, Communication Developing a Voice, A Teacher Contributes to Developing Voices","3","null","1995","12","1","1","0","0822-0638","CS","G123","English","1"
"186","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","Communication is a life-long process/ Reflections on the ""S"" Word/ Teaching and Learning/ Consuming Technology/ Some thoughts on Integration","6","null","1995","12","2","1","0","0822-0638","CS","G123","English","1"
"187","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","Communicating with signs, sounds and symbols/ Training Horizons for Adults in Transition/ Mainstream Computers versus dedicated aids","9","null","1995","12","3","1","0","0822-0638","CS","G123","English","1"
"188","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","As Abilities Change/ Living with Someone who has Huntington's Disease/ A Glimpse into the Future","12","null","1995","12","4","1","0","0822-0638","CS","G123","English","1"
"189","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","Feature: Justin Gives to Us All The Life of Justin Clark/ Consuming Technology/ Teaching and Learning/ As Communication Changes","3","null","1996","13","1","1","0","0822-0638","CS","G123","English","1"
"190","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","Families and Parenting/ Feature: Your Brother has CP?! So Does Mine!","6","null","1996","13","2","1","0","0822-0638","CS","G123","English","1"
"191","COMMUNICATING TOGETHER","ISAAC (Sharing to Learn)","Perspectives: A Generation-Xer Speaks Out!/ Is the Class half Empty or half Full? Generation X/ Celebating 30ths!","9","null","1996","13","3","1","0","0822-0638","CS","G123","English","1"
"192","COMMUNICATION OUTLOOK","ISAAC","Consumer Advocacy: The Key to Funding, Advocacy in Progress, Augmentative and Alternative Communication: An Overview of a Process-Oriented Approach","6","null","1991","12","4","0","1","0161-4128","CS","G123","English","1"
"193","COMMUNICATION OUTLOOK","ISAAC","From Communication Boards to Keyboards, Funding Changes in the United States, Synthesizer Synopsis: Current Research, A Focus on Cooperative Service Delivery","12","null","1991","13","2","1","0","0161-4128","CS","G123","English","1"
"194","COMMUNICATION OUTLOOK","ISAAC Special Edition","Icons and the Literate Adult, Speech Interpreters for Dysarthric Speakers, A Device for Success","4","null","1992","13","3","0","1","0161-4128","CS","G123","English","1"
"195","COMMUNICATION OUTLOOK","ISAAC","Social Communication: Chattering, Nattering and Cheek, Using an AAC Device: A Personal Perspective, Tom McMahan, Computer Artist, The AAC Assessment Cube for Adults with Severe Communication Disabilities","3","null","1992","14","1","0","1","0161-4128","CS","G123","English","1"
