"BookTopicID","TopicID","BookID"
"3012","15","782"
"3013","72","783"
"3014","14","784"
"3015","181","785"
"3016","30","786"
"3017","181","787"
"3018","116","788"
"3019","15","789"
"3020","86","790"
"3021","22","791"
"3022","257","792"
"3023","257","793"
"3024","42","794"
"3025","104","795"
"3026","92","796"
"3027","76","797"
"3028","42","798"
"3029","90","799"
"3031","90","801"
"3032","42","802"
"3033","196","803"
"3034","89","804"
"3035","70","805"
"3036","119","806"
"3037","9","807"
"3038","9","808"
"3039","23","809"
"3040","23","810"
"3041","10","811"
"3042","42","812"
"3043","29","813"
"3044","7","814"
"3045","9","815"
"3046","26","816"
"3047","25","817"
"3049","76","819"
"3050","140","820"
"3051","14","821"
"3052","14","822"
"3053","19","823"
"3054","103","824"
"3055","42","825"
"3056","14","826"
"3057","90","827"
"3058","108","828"
"3059","108","829"
"3060","42","830"
"3061","15","831"
"3062","92","832"
"3063","25","833"
"3064","90","834"
"3065","123","835"
"3066","25","836"
"3067","207","837"
"3068","10","838"
"3069","15","839"
"3070","10","840"
"3071","8","841"
"3072","8","842"
"3073","7","843"
"3074","58","844"
"3075","29","845"
"3076","24","846"
"3077","68","847"
"3078","15","848"
