author_id,first_name,last_name
bddf2f6d-ee59-5f79-8439-d96b451acc63,H.,Degen
5376569e-812b-5777-811e-12e1f66c4de7,X.,Fang
fd125ce8-8ebd-5fa0-a4e3-e1b617d09594,J.M.,Flach
631019d0-5431-58a4-902c-eda15bc57838,F.,Sainfort
65ce8361-e71b-58fa-a04a-2bc673d1e68e,S.,Guillen
f2ee0e65-66ba-5760-b0a9-bf5e2b9a324d,M.T.,Arredondo
c4cdcdd7-cd4e-5e2d-aed4-62c6a9694e9a,V.,Traver
5a0b235f-485d-5e97-a289-b1c51b751961,M.A.,Valero
0df13d99-5688-538c-af3d-80d780d0ebbe,S.,Martin
da484e30-4c18-593c-a544-a89810254dc5,A.,Traganitis
6a6264c3-d640-5376-9daa-204f724d8ea8,E.,Mantzourani
c755eadb-cc32-53af-b2aa-4a7e12dd59c2,A.,Totter
7c3596ae-91ad-599b-b069-3c4c074bd433,K.,Karefilaki
9550c825-951f-5242-9c83-50d47b5ae25d,S.,Robinson
0f1a0915-dec5-517a-8233-678837cafff8,Emmanuel,Boutsakis
0fb5f305-9d5a-59e6-b001-d2d5a4150271,Evangelos,Boutsakis
120a1ac5-2ba4-5090-9068-0117b9a49afc,Maria,Filou
c158cec5-a8a1-5116-99ca-d6a58c4a1883,Panayotis,Papadakos
286f1e43-8880-598c-877f-ee0eeb9fe0ec,Panayotis,Karampelas
1d4e7bc1-9a9a-5f9c-b7b2-16b030a6b348,Stella,Vourou
a58b6f54-452e-5478-9aca-d17d1e0bcecf,George,Malathrakis
b82180d0-6b9a-545e-9d6b-07edb44f2934,Stathis,Triantafyllou
b87fa981-81a0-55d7-9f2c-8b82cf71ffc3,M.,Tsiknakis
09f95313-ffd4-5c5f-9119-746c7279ae32,D.,Anthoulakis
d33504cc-a619-5f00-9269-76f8ed61e8d4,C.,Alexandraki
852f7b1b-6381-5360-95bb-9f45fd453d96,I.,Segkos
15bf0270-6c91-5c4c-8da8-f12f5d0160c1,L.,Burzagli
eb957230-dfc6-516f-b7f9-1e887b14f5c4,A.,Karypidis
c5a5ea96-fbb0-55e9-a8b1-dc6a640b37b5,C.,Buhler
ba646137-e753-55a2-b6f0-01de41227dd1,I.,Basdekis
bd306c41-7495-5316-8d97-2be07441f83f,Ioannis,Georgalis
c4e13cf9-ac97-5d23-bd1d-e9eac04da7d5,Iosif,Klironomos
ac40a996-335f-581e-a8f8-6cb41d967ce1,Ilias,Iakovidis
b4e58289-8892-5a1d-888d-cdc4b53966fc,M.,Maybury
9f774dce-74a4-5f2b-824b-166c4fa375f5,R.,Engelbrecht
8b24ff2d-a879-5e38-af99-1ed3b14f78dd,D.,Kalra
1edc53b6-91d0-5b7c-912a-5f292d86ff08,G.,Freriks
eb025dd7-75f6-5941-bcdd-638807fe7fb6,Constantina,Doulgeraki
16bcde49-7a15-5eb9-b59d-9cc3a8efb5b8,Nikos,Partarakis
df23cbd8-7b4e-5fd4-aa30-21609e859b9a,A.,Hatziantoniou
9deeb245-6359-510a-b7a0-581ae9230dc2,V.,Neroutsou
7d6c833a-7e95-5eb7-8fa0-3241091a4757,L.,Schilders
