"BookID","Title","Theme","Category","Publisher","PublicationYear","ISBN","CoverType","Origin","Shelf","CopiesNo","FotocopiesNo","Includes"
"68","Neural Computing Architectures The Design of Brain-Like Machines","This book meets the urgent need for a text that explains what neural computing is ""all about"" and sets the recent explosion of interest and activity in the area in its historical context.","book","North Oxford Academic Phblishers","1989","0946536473","hardbound","3Π13","G123","1","0",""
"69","Reinventing Man The Robot Becomes Reality","This book considers the posibilities of breaking away from the kind of preprogrammed intelligence upon which computers rely, and of devising machines which are a model of the logical structure of the brain.","book","Kogan Page Ltd","1983","0850387418","hardbound","CS","G122","1","0",""
"70","COST 219 Seminar Access to Control Systems","This Seminar was held for one day on the 16th June 1992 in Dublin Ireland. The seminar covered the following: The role of COST projects, Currently Identified Telecommunications access problems.","report","","1992","","paperback","CS","G123","1","0",""
"71","HCI'95 People & Computers Adjunct Proceedings","1. Demonstrations 2. Short Papers-Hand and Eye 3. Short Papers-Novel Design Issues 4. Short Papers-HCI Design Issues 5. Usability Issues","proceedings","University of Huddersfield","1995","","paperback","CS","","1","0",""
"72","Natural Language Understanding","The book is intended both as a textbook and as a general reference for researchers in artificial intelligence and other areas related to language.","book","Benjamin/Cummings Publishing Company","1987","0805303308","hardbound","3Π16","G123","1","0",""
"73","Ergonomics Course - Human-Computer Dialogues","1. Human machine interaction 2. Historical perspectives 3. User psychology 4. Specifying the interface 5. Dialogue styles: menus, forms, commands.","lecture notes","ΕΛΚΕΠΑ","","","spiral","CS","G121","0","1",""
"74","Getting Results with Microsoft Office for Windows 95","Introducing Microsoft Office. Install and Start Microsoft Office. Get Assistance while you Work. About Creating and Opening Documents and Databases.","manual","Microsoft Corporation","1995","660850795","paperback","RTI Lab.","G122","1","0",""
"75","The Core Language Engine","This book presents the theoretical and engineering advances embodied in one of the most comprehensive natural language processing systems designed to date.","book","MIT Press","1992","0262011263","hardbound","CS/E","G123","1","0",""
"76","Restoration of Walking Aided by Functional Electrical Stimulation","Proceedings of the topical workshop held in Enschede, The Netherlands concerning Functional Electrical Stimulation.","proceedings","Commission of the European Communities/COMAC BME","1987","","paperback","CS","GROUP-LIB","1","0",""
"77","People and Computers VIII","Proceedings of the HCI'93 Conference, 7-10 September 1993 Loughborough University of Technology, UK","proceedings","British Informatics Society  Ltd","1993","0521466334","paperback","CS","G121","1","0",""
"78","Learning with Interactive Multimedia Developing and Using Multimedia Tools in Education","This book looks at the impact of multimedia tools, especially HyperCard, on the development of education materials.","book","Apple Computer","1990","1556152825","paperback","CS","G123","1","0",""
"79","AAAI'93 Proceedings of the Eleventh National Conference on Artificial Intelligence July 11-6 1993, W","This volume contains accepted papers that describe significant contributions to all aspects of AI, including the principles underlying cognition, perception, and action in humans and machines.","proceedings","AAAI Press/MIT Press","1993","0262510715","paperback","CS","G121","1","0",""
"80","The AI Directory 1995-1996","The Societies: American Association for Artificial Intelligence/ ACM Special Interest Group in Artificial Intelligence (SIGART)/ Canadian Society for Computational Studies of Intelligence/ Fellows/ Members","directory","AAAI Press","1995","","paperback","CS","G122","1","0",""
"81","Standards for Educational and Psychological Testing","I. Technical Standards for Test Construction and Evaluation II. Professional Standards for Test Use III. Standards for Particular Applications IV. Standards for Administrative Procedures","book","American Psychological Association","1985","0912704950","paperback","CS","G117","1","0",""
"82","PowerChute Plus for UNIX","Manual for PowerChute Plus Installation.","manual","American Power Conversion","1991","9911009","paperback","RTI Lab.","RACE-LIB","1","0",""
"83","Open System Architecture for CIM","This report includes defining requirements and building blocks, and specifying a method for migrating to CIM-OSA","report","Springer-Verlag Berlin","1989","3540520589","paperback","CS","","1","0",""
