BookID,BookTopicID,TopicID
473,2703,48
474,2704,48
475,2705,48
476,2706,48
477,2707,48
478,2708,48
479,2709,48
480,2710,48
481,2711,48
482,2712,48
483,2713,48
484,2714,48
485,2715,48
486,2716,48
487,2717,48
488,2718,48
489,2719,48
490,2720,16
491,2721,82
492,2722,82
493,2723,82
494,2724,82
495,2725,82
496,2726,82
497,2727,82
498,2728,82
499,2729,82
500,2730,46
501,2731,123
502,2732,37
503,2733,82
504,2734,123
505,2735,123
506,2736,123
507,2737,123
508,2738,123
509,2739,123
511,2741,46
512,2742,46
513,2743,46
514,2744,46
515,2745,46
516,2746,46
517,2747,46
518,2748,46
519,2749,46
520,2750,46
521,2751,46
522,2752,46
523,2753,46
524,2754,46
525,2755,46
526,2756,46
527,2757,46
528,2758,46
529,2759,46
530,2760,119
531,2761,90
532,2762,90
533,2763,9
534,2764,9
535,2765,9
536,2766,16
538,2768,48
539,2769,48
540,2770,3
541,2771,16
542,2772,16
543,2773,16
544,2774,16
545,2775,82
546,2776,16
547,2777,90
548,2778,90
549,2779,90
550,2780,125
551,2781,125
552,2782,16
553,2783,16
554,2784,22
555,2785,48
556,2786,48
557,2787,48
558,2788,48
559,2789,48
560,2790,48
561,2791,48
562,2792,48
563,2793,48
564,2794,48
565,2795,48
566,2796,48
567,2797,48
568,2798,48
569,2799,48
570,2800,48
571,2801,126
572,2802,82
573,2803,48
574,2804,48
575,2805,48
576,2806,127
577,2807,16
578,2808,123
579,2809,82
580,2810,48
581,2811,48
582,2812,127
583,2813,82
584,2814,82
585,2815,125
586,2816,116
587,2817,46
588,2818,46
589,2819,73
590,2820,73
591,2821,26
592,2822,27
593,2823,27
594,2824,27
595,2825,27
596,2826,27
597,2827,27
598,2828,27
599,2829,27
600,2830,27
601,2831,128
602,2832,128
603,2833,128
604,2834,27
605,2835,128
606,2836,128
607,2837,27
608,2838,27
610,2840,119
611,2841,5
612,2842,7
613,2843,21
614,2844,23
615,2845,30
616,2846,196
617,2847,75
618,2848,48
619,2849,129
620,2850,42
621,2851,22
622,2852,7
623,2853,26
624,2854,26
625,2855,26
626,2856,22
627,2857,49
628,2858,15
629,2859,22
630,2860,131
631,2861,132
632,2862,76
633,2863,34
634,2864,9
635,2865,112
636,2866,112
637,2867,75
638,2868,75
639,2869,14
640,2870,14
641,2871,23
642,2872,23
643,2873,7
644,2874,7
646,2876,53
647,2877,22
648,2878,103
649,2879,14
650,2880,12
651,2881,25
652,2882,42
653,2883,75
655,2885,29
656,2886,71
657,2887,89
658,2888,22
659,2889,5
660,2890,68
661,2891,113
662,2892,23
663,2893,23
664,2894,281
665,2895,22
666,2896,24
667,2897,75
668,2898,51
669,2899,9
670,2900,8
671,2901,22
672,2902,5
673,2903,22
674,2904,22
675,2905,14
676,2906,92
677,2907,14
678,2908,131
679,2909,27
680,2910,10
681,2911,207
682,2912,207
683,2913,10
684,2914,92
685,2915,
686,2916,48
687,2917,61
688,2918,22
689,2919,103
690,2920,31
691,2921,10
692,2922,10
693,2923,257
694,2924,15
695,2925,75
696,2926,116
697,2927,72
698,2928,116
699,2929,14
700,2930,14
701,2931,90
702,2932,34
703,2933,108
704,2934,40
705,2935,26
706,2936,22
707,2937,24
708,2938,15
709,2939,26
710,2940,42
711,2941,250
712,2942,15
713,2943,71
714,2944,22
715,2945,22
716,2946,15
717,2947,103
718,2948,15
719,2949,137
720,2950,23
721,2951,104
722,2952,104
723,2953,106
724,2954,63
725,2955,90
726,2956,14
727,2957,15
728,2958,42
729,2959,137
730,2960,15
