BookID,BooksReaderID,DateIssued,ReaderID,ReturnedDate,Type
323,746,2005-01-18 00:00:00.0,111,,copy
669,747,2005-01-18 00:00:00.0,111,,copy
705,748,2005-01-18 00:00:00.0,111,,copy
1814,749,2005-01-18 00:00:00.0,111,,copy
756,750,2005-01-18 00:00:00.0,111,,copy
465,751,2005-01-18 00:00:00.0,111,,copy
1313,752,2005-01-18 00:00:00.0,111,,copy
890,753,2005-01-18 00:00:00.0,111,,copy
891,754,2005-01-18 00:00:00.0,111,,copy
1154,755,2005-01-18 00:00:00.0,111,,copy
2102,756,2005-01-18 00:00:00.0,111,,copy
1662,757,2005-01-18 00:00:00.0,111,,copy
2528,758,2005-01-18 00:00:00.0,111,,copy
946,759,2005-01-18 00:00:00.0,111,,copy
1524,760,2005-01-18 00:00:00.0,111,,copy
759,761,2005-01-18 00:00:00.0,111,,copy
3487,762,2005-01-18 00:00:00.0,111,,copy
3261,770,2005-01-31 00:00:00.0,111,,copy
3262,771,2005-01-31 00:00:00.0,111,,copy
836,772,2005-01-31 00:00:00.0,111,,copy
147,773,2005-01-31 00:00:00.0,111,,copy
2512,774,2005-01-31 00:00:00.0,111,,copy
2846,775,2005-01-31 00:00:00.0,111,,copy
2511,776,2005-01-31 00:00:00.0,111,,copy
2597,777,2005-01-31 00:00:00.0,111,,copy
2594,778,2005-01-31 00:00:00.0,111,,copy
2598,779,2005-01-31 00:00:00.0,111,,copy
1455,780,2005-01-31 00:00:00.0,111,,copy
1576,781,2005-01-31 00:00:00.0,111,,copy
1511,782,2005-01-31 00:00:00.0,111,,copy
1027,783,2005-01-31 00:00:00.0,111,,copy
786,784,2005-01-31 00:00:00.0,111,,copy
47,785,2005-01-31 00:00:00.0,111,,copy
772,786,2005-01-31 00:00:00.0,111,,copy
728,787,2005-01-31 00:00:00.0,111,,copy
2149,788,2005-01-31 00:00:00.0,111,,copy
2065,789,2005-01-31 00:00:00.0,111,,copy
905,790,2005-01-31 00:00:00.0,111,,copy
3489,791,2005-02-02 00:00:00.0,21,,copy
402,792,2005-02-02 00:00:00.0,111,,copy
2031,793,2005-02-02 00:00:00.0,111,,copy
2169,794,2005-02-02 00:00:00.0,111,,copy
2181,795,2005-02-02 00:00:00.0,111,,copy
1584,796,2005-02-02 00:00:00.0,111,,copy
1040,797,2005-02-02 00:00:00.0,111,,copy
1253,798,2005-02-02 00:00:00.0,111,,copy
1618,799,2005-02-02 00:00:00.0,111,,copy
107,800,2005-02-02 00:00:00.0,111,,copy
395,801,2005-02-02 00:00:00.0,111,,copy
2128,802,2005-02-02 00:00:00.0,111,,copy
52,803,2005-02-02 00:00:00.0,111,,copy
219,805,2005-02-02 00:00:00.0,111,,copy
1526,806,2005-02-02 00:00:00.0,111,,copy
933,807,2005-02-02 00:00:00.0,111,,copy
2384,808,2005-02-02 00:00:00.0,111,,copy
745,809,2005-02-02 00:00:00.0,111,,copy
3226,810,2005-02-02 00:00:00.0,111,,copy
2201,811,2005-02-02 00:00:00.0,111,,copy
374,812,2005-02-02 00:00:00.0,111,,copy
1666,813,2005-02-02 00:00:00.0,111,,copy
1574,835,2005-02-03 00:00:00.0,111,,copy
804,836,2005-02-03 00:00:00.0,111,,copy
1663,837,2005-02-03 00:00:00.0,111,,copy
797,838,2005-02-03 00:00:00.0,111,,copy
2780,839,2005-02-03 00:00:00.0,111,,copy
623,840,2005-02-03 00:00:00.0,111,,copy
