BookID,Category,CopiesNo,CoverType,FotocopiesNo,ISBN,Includes,Origin,PublicationYear,Publisher,Shelf,Theme,Title
96,proceedings,1,hardbound,0,0444817956,,cs,1995,elsevier science publishers,g122,"this book presents the latest advances in the research of ergonomics, human factors and social aspects of work with computer systems. proceedings of the 6th inter. conf. on hci, held in tokyo, japan, 9-14 july 1995, volume 2.",symbiosis of human and artifact: human and social aspects of human-computer interaction (20b)
97,manual,1,paperback,0,0315619a,,3π46,1991,apple computer,g120a,"this package includes: apple limited warranty, license agreement",apple computer warranty
98,manual,1,paperback,0,0304005a,,3π46,1991,apple computer,g120a,this manual tells you how to use the apple ethernet thin coax transceiver to connect an apple computer with an apple ethernet port to an ethernet network.,apple ethernet thin coax transceiver user's guide
99,manual,1,paperback,0,0201177536,,3π46,1987,apple computer,g122,this book presents the rationale behind the apple desktop interface and provides guidelines for software developers who want their products to be consistent with the desktop interface.,apple human interface guidelines: the apple desktop interface
100,manual,1,spiral,0,0301650b,,3π46,1991,apple computer,group-lib,"monitor macintosh 12"" rgb","apple macintosh 12"" rgb display owner's guide"
101,manual,1,spiral,0,z0305701a,,3π46,1991,apple computer,g120a,this manual is your reference guide for the apple laserwriter iif and iig printers.,laserwriter iif and iig owner's guide
102,guide,1,paperback,0,,,3π46,1991,apple computer,group-lib,"this guidebook describes prototyping tools, development environment and languages, object-oriented programming, unix tools, programmable databases and spreadsheets, authoring tools, debuggers...",macintosh development tools & languages guide book
103,book,1,hardbound,0,0262011344,,cs,1993,mit press,g123,"this book presents results from a three year, esprit funded effort to explore the itegration of the foundational issues of functional, logic, and object-oriented programming.","logic programming languages constraints, functions, and objects"
104,proceedings,1,paperback,0,0262510642,,cs,1992,mit press,g123,"topics covered: theory foundations, programming languages, implementation, programming methodologies and tools.",logic programming proceedings of the joint international conference and symposium on logic programmi
105,book,1,paperback,0,,,cs,1990,acon koln,g117,τμήμα εργασίας του υπουργίου της γερμανίας για αναπήρους,das abc der behindertenhilfe
106,book,1,hardbound,0,0792317505,,cs,1992,kluwer academic publishers & ecsc-eec-eaec,g121,this report provides vital information on national performance in innovation.,the technological specialization of advanced countries a report to the eec on international science
107,book,1,paperback,0,0471997366,,cs,1976,john wiley & sons,g122-cs,1. electronic digital computers-programming. δωρεα στη βιβλιοθηκη ιπ-ιτε.,a practical approach to computing
108,book,1,hardbound,0,0818632720,,cs,1993,ieee computer society press,g121,this book is intended for software engineering practitioners and researchers.,software reengineering
109,manual,1,paperback,0,,,rti lab.,1991,artecon,rti-lib(box_a),this manual serves as reference guide to support the artecon enclosure manuals.,artecon drive subsystem user's manual maxtor model lxt - 213sy disk drive
110,manual,1,spiral,0,,,rti lab.,1990,artecon,rti-lib(box_a),this manual helps make the setup and day-to-day operation of your half-height enclosure with your artecon or sun workstation.,half-height enclosure user's manual a high performance mass storage subsystem
111,book,1,paperback,0,0139731733,,cs,1990,digital press,g123,the first part of this book describes the toolkit's various features and explains how to use them. δωρεα στη βιβλιοθηκη ιπ-ιτε.,x window system toolkit
112,proceedings,2,paperback,0,0201588846,,cs,1993,acm press/addison-wesley publishing company,g121,interchi'93 proceedings is on user interfaces and cooperation technology.,interchi'93 conference proceedings: human factors in computing systems
113,report,2,paperback,0,,,cs,1994,consiglio nazionale delle ricerche,g122 / g120a,"3rd ercim database research group workshop on updates and constraints handling in advanced database systems cnuce - via s. maria 36 pisa, italy september 28-30, 1992",ercim updates and constraints handling in advanced database systems
114,book,1,hardbound,0,0444888861,,cs,1991,north-holland,,this book describes the operation of the aspis system and how the aspis system has been designed.,a knowledge-based approach to software development
115,proceedings,2,paperback,0,9282643387,,cs,1992,commission of the european communities,g121,the goal of the conference was to define new cooperative research projects based on these presentations and the recommendations from the working groups.,proceedings of the cost 219 conference telecommunications and people with disabilities current pract
116,book,1,hardbound,0,0070025665,,cs,1993,mcgraw-hill,g117,"1. testing 2. computer software-testing 3. design, industrial-testing",testing to verify design & manufacting readiness
117,book,1,paperback,0,0155436775,,cs,1957,harcourt brace jovanovich,g117,"the purpose of this book is to introduce contemporary psychology to the beginning student, in full recognition that between editions both psychology and students change.",introduction to psychology eighth edition
118,tutorial,1,spiral,0,,,cs,1993,hci international '93,cs-lib(hci '93),"tutorial from hci international'93 (5th int. conference on human-computer interaction jointly with 9th symposium on human interface (japan), august 1993, orlando, florida, usa",hci international '93 tutorial 10: converting to graphical user interfaces: design guidelines for su
119,tutorial,1,spiral,0,,,cs,1993,hci international '93,cs-lib(hci '93),"tutorial from hci international'93 (5th int. conference on human-computer interaction jointly with 9th symposium on human interface (japan), august 1993, orlando, florida, usa",hci international '93 tutorial 7: assessing user needs: bridging the gap between users and developer
120,book,1,paperback,0,0118860887,,cs,1992,hmso publications centre,g117,this report provides advice to schools and local education authorities on the management of provision for pupils with special needs.,getting in on the act provision for pupils with special educational needs: the national picture
121,book,1,paperback,0,0118860925,,cs,1992,hmso publications centre,g117,this handbook presents in detail practice which schools and local education authorities should implement in order to provide more effectively for pupils with special needs.,getting the act together provision for pupils with special educational needs: a management handbook
122,report,1,paperback,0,,,cs,1991,swedish institute for the handicapped,g117,this book provides information about legislation regarding psn in usa.,access to the usa - recent disability legislation
123,report,2,paperback,0,918833645x,,cs,1995,swedish institute for the handicapped,g117,the issues dealt with in this report are: - has the usa become a more accessible country? - what kind of accessibility guidelines have been developed? - what is the status of implementation of the legislation? - legislation in the future.,experiences and effects of disability legislation in the usa
124,report,3,paperback,0,,,cs,1990,swedish institute for the handicapped,guib-lib,"this report is intended to give an insight into legislation, products, services and research & development in the field of telecommunications in the usa.",telematics and disability in the usa
125,book,1,paperback,0,0938151827,,cs,1992,peachpit press,g117,this book fills a suprisingly long-standing gap in the literature of virtual reality.,silicon mirage: the art and science of virtual reality
126,proceedings,1,paperback,0,3540572538,,cs,1993,springer-verlag berlin,g121,"7th european workshop, ekaw '93, toulouse and caylus, france, september 1993.",knowledge acquisition for knowledge-based systems
