BookID,BooksReaderID,DateIssued,ReaderID,ReturnedDate,Type
2795,286,1998-03-10 00:00:00.0,12,2000-11-07 00:00:00.0,copy
1669,287,1997-06-05 00:00:00.0,12,2000-11-07 00:00:00.0,copy
2651,288,2000-08-18 00:00:00.0,48,2000-12-23 00:00:00.0,copy
3049,289,2000-09-01 00:00:00.0,48,2000-12-23 00:00:00.0,copy
2461,290,2000-08-18 00:00:00.0,48,2000-12-23 00:00:00.0,copy
2726,291,2000-10-10 00:00:00.0,15,2000-12-23 00:00:00.0,copy
2594,292,2000-10-10 00:00:00.0,15,2000-12-23 00:00:00.0,copy
2164,293,1998-03-13 00:00:00.0,15,2001-01-15 00:00:00.0,copy
716,294,1999-10-14 00:00:00.0,18,2001-02-15 00:00:00.0,copy
2461,295,2000-12-23 00:00:00.0,38,2001-02-15 00:00:00.0,copy
2718,296,1997-10-24 00:00:00.0,4,2000-10-15 00:00:00.0,copy
716,297,2001-02-15 00:00:00.0,20,2001-02-28 00:00:00.0,copy
2501,298,1998-09-07 00:00:00.0,7,2001-03-27 00:00:00.0,copy
1789,299,1998-09-07 00:00:00.0,7,2001-03-27 00:00:00.0,copy
3091,300,2000-09-26 00:00:00.0,7,2001-03-27 00:00:00.0,copy
2812,301,1998-06-01 00:00:00.0,7,2001-03-27 00:00:00.0,copy
2893,302,1999-10-14 00:00:00.0,7,2001-05-04 00:00:00.0,copy
716,303,2001-02-28 00:00:00.0,15,2001-05-29 00:00:00.0,copy
2678,304,2001-05-07 00:00:00.0,64,2001-05-31 00:00:00.0,copy
2792,305,2000-02-21 00:00:00.0,44,2001-07-09 00:00:00.0,copy
1027,306,2000-01-17 00:00:00.0,43,2001-07-10 00:00:00.0,copy
2894,307,2000-02-25 00:00:00.0,44,2001-07-17 00:00:00.0,copy
3213,308,2001-05-25 00:00:00.0,55,2001-07-17 00:00:00.0,copy
181,309,1999-03-22 00:00:00.0,25,2001-07-17 00:00:00.0,copy
2791,310,1998-02-09 00:00:00.0,25,2001-07-17 00:00:00.0,copy
1520,311,1999-09-24 00:00:00.0,37,2001-07-20 00:00:00.0,copy
2461,312,2000-01-21 00:00:00.0,37,2001-07-20 00:00:00.0,copy
225,313,1999-09-24 00:00:00.0,37,2001-07-20 00:00:00.0,copy
2585,314,1999-09-24 00:00:00.0,37,2001-07-20 00:00:00.0,copy
2163,315,1999-09-24 00:00:00.0,37,2001-07-20 00:00:00.0,copy
2378,316,1999-09-24 00:00:00.0,37,2001-07-20 00:00:00.0,copy
916,317,1999-09-24 00:00:00.0,37,2001-07-20 00:00:00.0,copy
2781,318,1999-09-24 00:00:00.0,37,2001-07-20 00:00:00.0,copy
2788,319,1999-09-24 00:00:00.0,37,2001-07-20 00:00:00.0,copy
3002,320,2000-01-24 00:00:00.0,37,2001-07-20 00:00:00.0,copy
1027,321,2001-07-10 00:00:00.0,64,2001-07-20 00:00:00.0,copy
3213,322,2001-07-17 00:00:00.0,15,2001-07-25 00:00:00.0,copy
3246,323,2001-07-19 00:00:00.0,15,2001-07-25 00:00:00.0,copy
965,324,,69,2001-07-25 00:00:00.0,
3215,325,2001-05-31 00:00:00.0,18,2001-07-30 00:00:00.0,copy
3237,326,2001-06-27 00:00:00.0,10,2001-08-02 00:00:00.0,copy
2658,327,2000-09-13 00:00:00.0,10,2001-08-02 00:00:00.0,photocopy
2657,328,2000-09-13 00:00:00.0,10,2001-08-02 00:00:00.0,photocopy
2994,329,1999-09-17 00:00:00.0,10,2001-08-02 00:00:00.0,copy
2696,330,1999-08-30 00:00:00.0,22,2001-08-02 00:00:00.0,copy
1276,331,1997-07-22 00:00:00.0,22,2001-08-02 00:00:00.0,copy
2513,332,1999-12-13 00:00:00.0,8,2001-08-02 00:00:00.0,copy
3097,333,2000-12-19 00:00:00.0,59,2001-08-02 00:00:00.0,copy
2091,334,2000-12-19 00:00:00.0,59,2001-08-02 00:00:00.0,copy
1503,335,1999-09-23 00:00:00.0,38,2001-08-02 00:00:00.0,copy
2156,336,1999-09-23 00:00:00.0,38,2001-08-02 00:00:00.0,copy
2695,337,1997-10-15 00:00:00.0,11,2001-08-02 00:00:00.0,copy
2862,338,1998-10-30 00:00:00.0,7,2001-08-02 00:00:00.0,copy
2792,339,1998-02-09 00:00:00.0,7,2001-08-02 00:00:00.0,copy
2807,340,2001-04-24 00:00:00.0,59,2001-08-14 00:00:00.0,copy
3002,341,2000-09-28 00:00:00.0,54,2001-08-20 00:00:00.0,copy
2903,342,2001-07-25 00:00:00.0,78,2001-08-20 00:00:00.0,copy
3210,343,2001-05-25 00:00:00.0,15,2001-08-31 00:00:00.0,copy
3211,344,2001-05-25 00:00:00.0,15,2001-08-31 00:00:00.0,copy
2985,345,1999-09-06 00:00:00.0,35,2001-09-05 00:00:00.0,copy
1504,346,2001-02-23 00:00:00.0,54,2001-09-13 00:00:00.0,copy
3215,347,2001-07-30 00:00:00.0,76,2001-09-20 00:00:00.0,copy
2797,348,1999-09-23 00:00:00.0,38,2001-09-19 00:00:00.0,copy
197,349,1999-09-23 00:00:00.0,38,2001-09-19 00:00:00.0,copy
2396,350,1999-09-23 00:00:00.0,38,2001-09-19 00:00:00.0,copy
2513,351,2001-07-25 00:00:00.0,74,2001-09-21 00:00:00.0,copy
2843,352,1998-08-26 00:00:00.0,7,2001-10-25 00:00:00.0,copy
2722,353,1998-02-03 00:00:00.0,7,2001-10-25 00:00:00.0,copy
2842,354,1998-08-26 00:00:00.0,7,2001-10-25 00:00:00.0,copy
1711,355,2001-10-18 00:00:00.0,7,2001-10-25 00:00:00.0,copy
2170,356,2001-10-18 00:00:00.0,7,2001-10-25 00:00:00.0,copy
2947,357,1998-02-05 00:00:00.0,7,2001-10-25 00:00:00.0,copy
2948,358,1998-02-05 00:00:00.0,7,2001-10-25 00:00:00.0,copy
