source_db,old_topic_id,old_topic_name,new_book_topic_id
db1,277,Systems Development,35c52117-ba64-434e-a628-73d68a42550c
db1,278,Cryptography,eabb704f-9994-4ed9-a92a-15e81fe07cf0
db1,280,Semiotics,e782f8d6-dcae-4e3e-bb5d-a0cbd8e897fd
db1,281,Research Reports ESPRIT,94aa5ae7-d02b-4a8e-aca8-a6e4039d1a73
db1,282,Speech Technology,aea180d1-a7ae-43fe-8b81-564778ecb98c
db1,284,Document designing,d80341e6-79f2-4b43-b63b-1f33dae32b3f
db1,286,Programming,4a63ea3f-84bd-40e4-b745-b3fdd626f608
db1,287,Computer Visualisation,9133e6b4-e470-4557-b52b-417dc75472fb
db1,292,Computer Documentation,85baa7b5-d3ac-4638-8912-ea800a47b37f
db1,293,Algorithms,bf419653-f087-4cf6-b4bb-43755083cc56
db1,294,Computers and Civilisation,e1b59955-b4eb-435c-a56f-6e761e68c684
db1,295,Juvenile Literature,7285c6a3-92c0-42fa-8225-7755a3db1986
db1,296,Information Security,ed9f4787-8673-442c-a2bd-92b56a33aad5
db1,297,Graphic design,43f5e578-b1d6-413a-80e3-dc1cb18a91ad
db1,299,Typography,7c254641-2b97-4601-ac42-29dc6099e5dd
db1,300,Art & Science,5393143b-81c7-40f8-9de7-cdf55d947a77
db1,301,Ethical & Social Aspects,4a744cbb-1877-47ad-bb02-53df9df8db82
db1,302,Information Theory,41692279-1fb8-4916-80a3-492445d160d0
db1,303,Data Processing,21f0bad3-1a19-4959-8da3-ccbe982635d7
db1,304,Law,79bdb154-93f2-4011-975f-168d280f8043
db1,305,Distance Learning,f6b6658f-4219-464b-bfcc-1cbed37af496
db1,306,Sign Language,803c386e-6892-4af9-9437-2f51f3820b75
db1,307,Computer Animation,69952aa3-b5d6-4976-bbf8-f2afdfe5846d
db1,308,Bioethics,f48c855c-3f70-4193-a20a-84aff7fa657d
db1,309,Endophysics,3a349e83-4294-4519-9b33-196b4bc8d591
db1,310,Teaching and Learning,fcababc0-3f40-44d4-8381-c8b7404b5746
db1,311,Computers and Children,553ae8fb-80d0-439f-b51b-927edf093689
db1,312,Research Report,a020ca5d-5dd1-444e-81f7-d2e46b890c09
db1,313,Communication and Technology,5a3ab400-c9f1-4076-a03d-a8ff7c1545ad
db1,314,Desktop publishing,2010c676-ed98-49f0-87a7-d7afc0d9d5a7
db1,315,Business Presentations,97fef2d4-245b-46dc-9783-b6e519cab491
db1,316,Technology,5e4a6c70-35f1-4e6e-9e94-05c72f4af991
db1,317,Accessibility,80073429-e80f-46cd-85f6-822d2b0ab87d
db1,318,Telemedicine,6ba3bfff-2da6-43f8-976c-973ad341325b
db1,319,Health,a5fa0617-ec91-42a8-9839-0115bda360e1
db1,320,Computational Geometry,a8544522-e864-4cd1-bbd5-01d650bb10c1
db1,321,Design,cfa0fc88-42df-4e18-a5de-0995d0230b88
db1,322,PowerPoint,154718d6-7b0a-4877-a2be-cc96007145a6
db1,323,Gerontechnology,61591b0c-64e8-48bd-b6da-d5d8f38165cf
db1,324,Smart Homes,8da433a5-738f-496d-a759-4ef66ee1a59b
db1,325,Video Telephony,18735ec1-cd28-4ac9-a68d-2a97130d8c91
db1,326,Text telephony,5281c5f0-7e7d-4ed8-958f-a368be3d70bc
db1,327,Media,110b6f14-b8ff-411d-84f5-d2a6c2b15811
db1,328,Information networks,2639fe49-ccee-4bd0-80fc-5aa96dec199b
db1,329,Educational,0d1233c0-a857-460f-880d-83774b9c5929
db1,330,Children's Learning,0c2fb9e8-7b54-47a1-8b37-d20f67e75c12
db1,331,Interactive Multimedia,886c2c4c-878b-4a87-9a27-8337aaaac817
db1,332,Art & Electronics,fd12187d-8a69-4ca5-b0a9-07a63902ddf2
db1,333,Video Techniques,d4f18b76-2e00-4502-aac0-320eecf64434
db1,334,Activity theory,acff3638-2468-454a-8d4d-8e3d98f43a00
db1,335,WWW,2f592df0-0e69-4886-924d-1c8748d76865
